prop,ext,type,status
http://www.wikidata.org/entity/P227,http://d-nb.info/standards/elementset/gnd#gndIdentifier,Equiv_Prop,
http://www.wikidata.org/entity/P856,http://d-nb.info/standards/elementset/gnd#homepage,Equiv_Prop,
http://www.wikidata.org/entity/P110,http://d-nb.info/standards/elementset/gnd#illustratorOrIlluminator,Ext_Superprop,
http://www.wikidata.org/entity/P407,http://d-nb.info/standards/elementset/gnd#language,Equiv_Prop,
http://www.wikidata.org/entity/P527,http://d-nb.info/standards/elementset/gnd#narrowerTermPartitive,Ext_Superprop,
http://www.wikidata.org/entity/P664,http://d-nb.info/standards/elementset/gnd#organizerOrHost,Equiv_Prop,
http://www.wikidata.org/entity/P127,http://d-nb.info/standards/elementset/gnd#owner,Equiv_Prop,
http://www.wikidata.org/entity/P20,http://d-nb.info/standards/elementset/gnd#placeOfDeath,Equiv_Prop,
http://www.wikidata.org/entity/P155,http://d-nb.info/standards/elementset/gnd#precedingConferenceOrEvent,Ext_Subprop,
http://www.wikidata.org/entity/P155,http://d-nb.info/standards/elementset/gnd#precedingCorporateBody,Ext_Subprop,
http://www.wikidata.org/entity/P155,http://d-nb.info/standards/elementset/gnd#predecessor,Equiv_Prop,
http://www.wikidata.org/entity/P742,http://d-nb.info/standards/elementset/gnd#pseudonym,Equiv_Prop,
http://www.wikidata.org/entity/P58,http://d-nb.info/standards/elementset/gnd#screenwriter,Equiv_Prop,
http://www.wikidata.org/entity/P859,http://d-nb.info/standards/elementset/gnd#sponsorOrPatron,Ext_Superprop,
http://www.wikidata.org/entity/P734,http://d-nb.info/standards/elementset/gnd#surname,Equiv_Prop,
http://www.wikidata.org/entity/P921,http://d-nb.info/standards/elementset/gnd#topic,Equiv_Prop,
http://www.wikidata.org/entity/P655,http://d-nb.info/standards/elementset/gnd#translator,Equiv_Prop,
http://www.wikidata.org/entity/P3962,http://data.bnf.fr/ontology/bnf-onto/ean,Equiv_Prop,
http://www.wikidata.org/entity/P577,http://data.bnf.fr/ontology/bnf-onto/firstYear,Equiv_Prop,
http://www.wikidata.org/entity/P268,http://data.bnf.fr/ontology/bnf-onto/FRBNF,Equiv_Prop,
http://www.wikidata.org/entity/P236,http://data.bnf.fr/ontology/bnf-onto/issn,Equiv_Prop,
http://www.wikidata.org/entity/P50,http://data.bnf.fr/vocabulary/roles/r70,Equiv_Prop,
http://www.wikidata.org/entity/P2048,http://data.ign.fr/def/topo#hauteur,Equiv_Prop,
http://www.wikidata.org/entity/P5607,http://dati.beniculturali.it/cis/ClericalAdministrativeArea,Equiv_Prop,
http://www.wikidata.org/entity/P582,http://dati.beniculturali.it/cis/endDate,Equiv_Prop,
http://www.wikidata.org/entity/P6375,http://dati.beniculturali.it/cis/fullAddress,Equiv_Prop,
http://www.wikidata.org/entity/P968,http://dati.beniculturali.it/cis/hasEmail,Equiv_Prop,
http://www.wikidata.org/entity/P2900,http://dati.beniculturali.it/cis/hasFax,Equiv_Prop,
http://www.wikidata.org/entity/P635,http://dati.beniculturali.it/cis/hasISTATCode,Equiv_Prop,
http://www.wikidata.org/entity/P1329,http://dati.beniculturali.it/cis/hasTelephone,Equiv_Prop,
http://www.wikidata.org/entity/P856,http://dati.beniculturali.it/cis/hasWebSite,Equiv_Prop,
http://www.wikidata.org/entity/P791,http://dati.beniculturali.it/cis/ISILIdentifier,Equiv_Prop,
http://www.wikidata.org/entity/P580,http://dati.beniculturali.it/cis/startDate,Equiv_Prop,
http://www.wikidata.org/entity/P1891,http://dati.camera.it/ocd/altro_firmatario,Equiv_Prop,
http://www.wikidata.org/entity/P463,http://dati.camera.it/ocd/membro,Equiv_Prop,
http://www.wikidata.org/entity/P1891,http://dati.camera.it/ocd/primo_firmatario,Equiv_Prop,
http://www.wikidata.org/entity/P2715,http://dati.camera.it/ocd/rif_elezione,Equiv_Prop,
http://www.wikidata.org/entity/P4100,http://dati.camera.it/ocd/rif_gruppoParlamentare,Equiv_Prop,
http://www.wikidata.org/entity/P2937,http://dati.camera.it/ocd/rif_leg,Equiv_Prop,
http://www.wikidata.org/entity/P276,http://dati.camera.it/ocd/rif_luogo,Equiv_Prop,
http://www.wikidata.org/entity/P2031,http://dbpedia.org/ontology/activeYearsStartDate,Equiv_Prop,
http://www.wikidata.org/entity/P161,http://dbpedia.org/ontology/Actor,Equiv_Prop,
http://www.wikidata.org/entity/P473,http://dbpedia.org/ontology/areaCode,Equiv_Prop,
http://www.wikidata.org/entity/P569,http://dbpedia.org/ontology/birthDate,Equiv_Prop,
http://www.wikidata.org/entity/P19,http://dbpedia.org/ontology/birthPlace,Equiv_Prop,
http://www.wikidata.org/entity/P651,http://dbpedia.org/ontology/bpnId,Equiv_Prop,
http://www.wikidata.org/entity/P231,http://dbpedia.org/ontology/casNumber,Equiv_Prop,
http://www.wikidata.org/entity/P2048,http://dbpedia.org/ontology/ConveyorSystem/height,Ext_Subprop,
http://www.wikidata.org/entity/P17,http://dbpedia.org/ontology/country,Equiv_Prop,
http://www.wikidata.org/entity/P570,http://dbpedia.org/ontology/deathDate,Equiv_Prop,
http://www.wikidata.org/entity/P20,http://dbpedia.org/ontology/deathPlace,Equiv_Prop,
http://www.wikidata.org/entity/P2048,http://dbpedia.org/ontology/Escalator/height,Ext_Subprop,
http://www.wikidata.org/entity/P2048,http://dbpedia.org/ontology/height,Equiv_Prop,
http://www.wikidata.org/entity/P227,http://dbpedia.org/ontology/individualisedGnd,Equiv_Prop,
http://www.wikidata.org/entity/P200,http://dbpedia.org/ontology/inflow,Equiv_Prop,
http://www.wikidata.org/entity/P1144,http://dbpedia.org/ontology/lccn,Equiv_Prop,
http://www.wikidata.org/entity/P2048,http://dbpedia.org/ontology/MeanOfTransportation/height,Ext_Subprop,
http://www.wikidata.org/entity/P2048,http://dbpedia.org/ontology/MovingWalkway/height,Ext_Subprop,
http://www.wikidata.org/entity/P2561,http://dbpedia.org/ontology/name,Equiv_Prop,
http://www.wikidata.org/entity/P409,http://dbpedia.org/ontology/nlaId,Equiv_Prop,
http://www.wikidata.org/entity/P2048,http://dbpedia.org/ontology/On-SiteTransportation/height,Ext_Subprop,
http://www.wikidata.org/entity/P201,http://dbpedia.org/ontology/outflow,Equiv_Prop,
http://www.wikidata.org/entity/P2048,http://dbpedia.org/ontology/Person/height,Ext_Subprop,
http://www.wikidata.org/entity/P1082,http://dbpedia.org/ontology/populationTotal,Equiv_Prop,
http://www.wikidata.org/entity/P371,http://dbpedia.org/ontology/presenter,Equiv_Prop,
http://www.wikidata.org/entity/P162,http://dbpedia.org/ontology/producer,Equiv_Prop,
http://www.wikidata.org/entity/P123,http://dbpedia.org/ontology/publisher,Equiv_Prop,
http://www.wikidata.org/entity/P264,http://dbpedia.org/ontology/recordLabel,Equiv_Prop,
