item,pred,ext
http://www.wikidata.org/entity/Q111037101,http://www.wikidata.org/prop/direct/P2888,https://schema.org/Nonprofit501c7
http://www.wikidata.org/entity/Q111110126,http://www.wikidata.org/prop/direct/P2888,https://schema.org/Nonprofit501c19
http://www.wikidata.org/entity/Q1111648,http://www.wikidata.org/prop/direct/P2888,https://schema.org/colorist
http://www.wikidata.org/entity/Q11204,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Legislature
http://www.wikidata.org/entity/Q11265853,http://www.wikidata.org/prop/direct/P1709,https://schema.org/HairSalon
http://www.wikidata.org/entity/Q11303721,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/GolfPlayer
http://www.wikidata.org/entity/Q11315,http://www.wikidata.org/prop/direct/P1709,https://schema.org/ShoppingCenter
http://www.wikidata.org/entity/Q1138671,http://www.wikidata.org/prop/direct/P2888,http://lemac.sgcb.mcu.es/Autoridades/LEMAC201205654/concept
http://www.wikidata.org/entity/Q1141323,http://www.wikidata.org/prop/direct/P1709,http://data.culture.fr/thesaurus/resource/ark:/67717/T1-675
http://www.wikidata.org/entity/Q114777153,http://www.wikidata.org/prop/direct/P2888,http://backrooms-wiki.wikidot.com/entity-3
http://www.wikidata.org/entity/Q114782712,http://www.wikidata.org/prop/direct/P2888,http://backrooms-wiki.wikidot.com/entity-10
http://www.wikidata.org/entity/Q1153051,http://www.wikidata.org/prop/direct/P1709,http://comicmeta.org/cbo/inker
http://www.wikidata.org/entity/Q116,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Monarch
http://www.wikidata.org/entity/Q116052725,http://www.wikidata.org/prop/direct/P2888,http://purl.obolibrary.org/obo/ENVO_00000009
http://www.wikidata.org/entity/Q11631,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Astronaut
http://www.wikidata.org/entity/Q11707,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Restaurant
http://www.wikidata.org/entity/Q11707,http://www.wikidata.org/prop/direct/P1709,https://schema.org/Restaurant
http://www.wikidata.org/entity/Q11707,http://www.wikidata.org/prop/direct/P2888,http://purl.obolibrary.org/obo/ENVO_01000934
http://www.wikidata.org/entity/Q11774891,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/IceHockeyPlayer
http://www.wikidata.org/entity/Q11892507,http://www.wikidata.org/prop/direct/P1709,http://comicmeta.org/cbo/writer
http://www.wikidata.org/entity/Q1193236,http://www.wikidata.org/prop/direct/P2888,https://schema.org/NewsMediaOrganization
http://www.wikidata.org/entity/Q1195245,http://www.wikidata.org/prop/direct/P1709,https://schema.org/BeautySalon
http://www.wikidata.org/entity/Q1196129,http://www.wikidata.org/prop/direct/P1709,http://www.w3.org/2006/vcard/ns#Spouse
http://www.wikidata.org/entity/Q1200502,http://www.wikidata.org/prop/direct/P2888,http://www.treccani.it/enciclopedia/desaparecidos_(Dizionario-di-Storia)
